date,close,turnover_rate_f,pct_chg
2004-01-02,1517.193,1.59,1.3459
2004-01-05,1568.353,2.72,3.372
2004-01-06,1574.523,3.1,0.3934
2004-01-07,1587.204,2.91,0.8054
2004-01-08,1610.126,2.66,1.4442
2004-01-09,1581.466,3.02,-1.78
2004-01-12,1618.518,2.19,2.3429
2004-01-13,1612.683,2.47,-0.3605
2004-01-14,1592.423,1.95,-1.2563
2004-01-15,1586.493,1.79,-0.3724
2004-01-16,1600.425,1.95,0.8782
2004-01-29,1628.837,1.76,1.7753
2004-01-30,1590.729,2.29,-2.3396
2004-02-02,1623.88,3.3,2.084
2004-02-03,1649.282,2.53,1.5643
2004-02-04,1685.159,3.08,2.1753
2004-02-05,1693.428,3.09,0.4907
2004-02-06,1679.193,3.2,-0.8406
2004-02-09,1703.529,2.49,1.4493
2004-02-10,1691.009,2.59,-0.7349
2004-02-11,1677.759,2.53,-0.7836
2004-02-12,1663.832,2.59,-0.8301
2004-02-13,1658.539,2.17,-0.3181
2004-02-16,1696.827,2.19,2.3085
2004-02-17,1703.774,2.83,0.4094
2004-02-18,1717.096,2.76,0.7819
2004-02-19,1717.015,2.59,-0.0047
2004-02-20,1721.752,2.21,0.2759
2004-02-23,1681.654,2.71,-2.3289
2004-02-24,1682.297,2.55,0.0382
2004-02-25,1647.381,2.34,-2.0755
2004-02-26,1654.898,2.2,0.4563
2004-02-27,1675.067,1.88,1.2187
2004-03-01,1689.76,1.9,0.8772
2004-03-02,1687.278,1.95,-0.1469
2004-03-03,1661.812,1.83,-1.5093
2004-03-04,1668.874,1.69,0.425
2004-03-05,1662.096,1.52,-0.4061
2004-03-08,1637.144,1.48,-1.5012
2004-03-09,1637.099,1.53,-0.0027
2004-03-10,1678.073,1.56,2.5028
2004-03-11,1691.643,1.75,0.8087
2004-03-12,1694.743,1.51,0.1833
2004-03-15,1736.22,2.38,2.4474
2004-03-16,1745.543,2.1,0.537
2004-03-17,1745.098,1.8,-0.0255
2004-03-18,1717.26,1.99,-1.5952
2004-03-19,1747.872,1.67,1.7826
2004-03-22,1755.685,1.66,0.447
2004-03-23,1741.695,1.74,-0.7968
2004-03-24,1740.054,1.68,-0.0942
2004-03-25,1736.477,1.52,-0.2056
2004-03-26,1734.047,1.54,-0.1399
2004-03-29,1719.674,1.55,-0.8289
2004-03-30,1724.277,1.29,0.2677
2004-03-31,1741.623,1.52,1.006
2004-04-01,1758.147,1.69,0.9488
2004-04-02,1768.645,2.0,0.5971
2004-04-05,1766.483,2.24,-0.1222
2004-04-06,1777.516,2.17,0.6246
2004-04-07,1774.552,2.1,-0.1667
2004-04-08,1770.279,2.1,-0.2408
2004-04-09,1727.348,2.29,-2.4251
2004-04-12,1722.986,1.73,-0.2525
2004-04-13,1715.136,1.79,-0.4556
2004-04-14,1697.156,1.83,-1.0483
2004-04-15,1679.076,1.42,-1.0653
2004-04-16,1693.861,1.64,0.8805
2004-04-19,1675.885,1.29,-1.0612
2004-04-20,1669.422,1.19,-0.3856
2004-04-21,1651.577,1.42,-1.0689
2004-04-22,1657.785,1.16,0.3759
2004-04-23,1635.501,1.14,-1.3442
2004-04-26,1635.499,0.94,-0.0001
2004-04-27,1611.86,1.18,-1.4454
2004-04-28,1606.801,1.15,-0.3139
2004-04-29,1579.447,1.24,-1.7024
2004-04-30,1595.587,1.14,1.0219
2004-05-10,1560.215,0.75,-2.2169
2004-05-11,1568.059,0.71,0.5028
2004-05-12,1603.768,1.01,2.2773
2004-05-13,1597.57,0.81,-0.3865
2004-05-14,1562.688,0.87,-2.1834
2004-05-17,1539.959,0.77,-1.4545
2004-05-18,1555.442,1.12,1.0054
2004-05-19,1558.287,1.16,0.1829
2004-05-20,1549.061,0.85,-0.5921
2004-05-21,1558.33,0.78,0.5984
2004-05-24,1550.348,0.69,-0.5122
2004-05-25,1518.045,0.85,-2.0836
2004-05-26,1524.436,0.68,0.421
2004-05-27,1557.178,1.13,2.1478
2004-05-28,1548.722,0.79,-0.543
2004-05-31,1555.906,0.67,0.4639
2004-06-01,1579.658,1.2,1.5266
2004-06-02,1567.067,1.26,-0.7971
2004-06-03,1543.527,1.04,-1.5022
2004-06-04,1542.086,0.96,-0.0934
2004-06-07,1517.145,0.83,-1.6174
2004-06-08,1493.814,0.92,-1.5378
2004-06-09,1468.071,1.04,-1.7233
2004-06-10,1468.344,0.94,0.0186
2004-06-11,1472.072,0.94,0.2539
2004-06-14,1438.736,0.93,-2.2646
2004-06-15,1463.777,0.9,1.7405
2004-06-16,1475.416,1.0,0.7951
2004-06-17,1445.501,0.84,-2.0276
2004-06-18,1427.301,0.9,-1.2591
2004-06-21,1433.467,0.7,0.432
2004-06-22,1450.683,0.97,1.201
2004-06-23,1440.729,0.76,-0.6862
2004-06-24,1427.754,0.83,-0.9006
2004-06-25,1401.113,0.87,-1.8659
2004-06-28,1385.181,0.73,-1.1371
2004-06-29,1408.689,0.94,1.6971
2004-06-30,1399.162,0.75,-0.6763
2004-07-01,1441.068,1.26,2.9951
2004-07-02,1441.19,0.98,0.0085
2004-07-05,1444.59,0.74,0.2359
2004-07-06,1450.501,1.1,0.4092
2004-07-07,1438.398,0.71,-0.8344
2004-07-08,1439.783,0.63,0.0963
2004-07-09,1430.654,0.65,-0.6341
2004-07-12,1397.148,0.76,-2.342
2004-07-13,1399.461,0.64,0.1656
2004-07-14,1403.755,0.93,0.3068
2004-07-15,1421.544,1.13,1.2672
2004-07-16,1456.13,2.0,2.433
2004-07-19,1457.537,1.18,0.0966
2004-07-20,1447.941,1.11,-0.6584
2004-07-21,1448.037,0.85,0.0066
2004-07-22,1407.438,1.16,-2.8037
2004-07-23,1407.396,0.95,-0.003
2004-07-26,1387.67,0.74,-1.4016
2004-07-27,1384.128,0.81,-0.2552
2004-07-28,1388.81,0.89,0.3383
2004-07-29,1407.331,1.0,1.3336
2004-07-30,1386.202,0.81,-1.5014
2004-08-02,1373.217,0.63,-0.9367
2004-08-03,1366.258,0.68,-0.5068
2004-08-04,1404.505,1.53,2.7994
2004-08-05,1389.039,0.96,-1.1012
2004-08-06,1390.461,0.81,0.1024
2004-08-09,1395.848,0.7,0.3874
2004-08-10,1400.769,0.6,0.3525
2004-08-11,1384.964,0.66,-1.1283
2004-08-12,1368.196,0.73,-1.2107
2004-08-13,1368.45,0.72,0.0186
2004-08-16,1354.511,0.65,-1.0186
2004-08-17,1360.2,0.6,0.42
2004-08-18,1358.216,0.65,-0.1459
2004-08-19,1340.45,0.7,-1.308
2004-08-20,1341.738,0.69,0.0961
